title,data_used,models_used,tools_used,keywords,participants,participants_count,biological_data,physiological_data,methodology,transparency,accuracy,purposivity,utility,propriety,accessibility,specificity,score_tapupas,population,intervention,comparison,outcome,score_pico,casp_clear_aim,casp_methodology,casp_recruitment,casp_ethics,casp_analysis,casp_results_stated,casp_value,casp_clear_aim_score,casp_clear_aim_pass,casp_methodology_score,casp_methodology_pass,casp_recruitment_score,casp_recruitment_pass,casp_ethics_score,casp_ethics_pass,casp_analysis_score,casp_analysis_pass,casp_results_stated_score,casp_results_stated_pass,casp_value_score,casp_value_pass,score_casp,kitch_research_question,kitch_study_context,kitch_data_collection,kitch_data_analysis,kitch_validity,kitch_replication,kitch_contribution,kitch_research_question_score,kitch_research_question_pass,kitch_search_strategy_score,kitch_search_strategy_pass,kitch_inclusion_criteria_score,kitch_inclusion_criteria_pass,kitch_data_extraction_score,kitch_data_extraction_pass,kitch_quality_assessment_score,kitch_quality_assessment_pass,kitch_data_synthesis_score,kitch_data_synthesis_pass,kitch_limitations_score,kitch_limitations_pass,score_kitchenham,score_prisma,prisma_objective_pass,prisma_eligibility_criteria_pass,prisma_information_sources_pass,prisma_search_strategy_pass,prisma_selection_process_pass,prisma_data_collection_pass,prisma_risk_of_bias_pass,prisma_synthesis_pass,prisma_limitations_pass,prisma_registration_pass,title_source,authors,abstract,abstract_length,doi,year,journal,keywords,target_education_level,countries,source_file
Real-time Adaptive Learning Environments Using Gaze and Emotion Recognition Engagement and Learning Outcomes,biometric data; data collection; eye movement; eye tracking; eye-tracking; facial emotion; facial expression; heart rate,gat,openface; postgresql; processing; r,Adaptive Learning; Gaze Tracking; Emotion Recognition; Student Engagement; Artificial Intelligence in Education,learners; participants; students,,,biometric data; emotional state; erp; eye movement; heart rate,qualitative,1,1,0,0,0,0,2,,students,automated communication strate,traditional instructional meth,by how the peter conversationa,,True,True,False,False,False,True,True,0.909,,0.8,,0.714,,0.722,,0.59,,0.869,,0.905,,,True,False,True,True,False,False,False,0.834,True,0.815,True,0.854,True,0.787,True,0.861,True,0.814,True,0.848,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Aboulhassane Cisse,"
 This study explores the integration of real-time adaptive learning environments with gaze tracking and emotion recognition technologies to enhance student engagement and learning outcomes. By leveraging artificial intelligence (AI) and machine learning, the research aims to develop a framework that dynamically adjusts instructional strategies based on students' cognitive and emotional states. The focus is on three objectives: integrating these technologies, evaluating their impact, and assessing the effectiveness of automated communication strategies-Affective Backchannels (AB), Conversational Strategies (CS), and their combination (AB+CS). Using a mixed-methods approach, data from approximately 30 university students in digital learning environments will be analyzed. The findings are expected to provide valuable insights into the application of these technologies in education, potentially informing future educational policies and practices. 
",120,,,,Adaptive Learning; Gaze Tracking; Emotion Recognition; Student Engagement; Artificial Intelligence in Education,university,mali,2024_ICCE2024-Paper_244_-_Camera_ready_-_AboulHassane_CISSE.pdf
Human-in-the-Loop Annotation for Image-Based Engagement Estimation: Assessing the Impact of Model Reliability on Annotation Accuracy,data collection; dataset; emotion detection; eye-tracking; facial expression; physiological data,cnn; convolutional neural network; deep learning; gat; lstm; mobilenet; neural net; neural network; ppo; recurrent neural network; reinforcement learning; rnn; transformer; transformers,excel; processing; r,Human-in-the-loop; Engagement recognition; Computer vision,participants; students,112,rna,blink rate; cognitive load; emotional state; erp; imu; physiological data,qualitative,1,3,1,0,1,0,2,,students,data such as facial expression,,the accuracy of emotion recogn,,True,True,False,False,False,True,True,0.928,,0.779,,0.724,,0.747,,0.569,,0.878,,0.923,,,True,False,True,False,False,False,True,0.843,True,0.791,True,0.873,True,0.78,True,0.872,True,0.79,True,0.85,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Sahana Yadnakudige Subramanya; Ko Watanabe,"
 Human-in-the-loop (HITL) frameworks are increasingly recognized for their potential to improve annotation accuracy in emotion estimation systems by combining machine predictions with human expertise. This study focuses on integrating a high-performing image-based emotion model into a HITL annotation framework to evaluate humanmachine interaction's collaborative potential and uncover the psychological and practical factors critical to successful collaboration. Specifically, we investigate how varying model reliability and cognitive framing influence human trust, cognitive load, and annotation behavior in HITL systems. We show that model reliability and psychological framing significantly impact annotators' trust, engagement, and consistency, offering insights into optimizing HITL frameworks. Through three experimental scenarios with 29 participants-baseline model reliability (S1), fabricated errors (S2), and cognitive bias introduced by negative framing-we analyzed behavioral and qualitative data (S3). Reliable predictions (S1) yielded high trust and annotation consistency, while unreliable outputs (S2) induced critical evaluations but increased frustration and response variability. Negative framing (S3) revealed how cognitive bias influenced participants to rate the model as relatable and accurate despite misinformation about its reliability. These findings highlight the importance of reliable machine outputs and psychological factors in shaping effective human-machine collaboration. By leveraging the strengths of both human oversight and automated systems, this study establishes a scalable HITL framework for emotion annotation and sets the stage for broader applications in adaptive learning and human-computer interaction. 
",219,10.1109/ACCESS.2024.3515838,2025,,Human-in-the-loop; Engagement recognition; Computer vision,university,,2025_Human-in-the-Loop_Annotation_for_Image-Based_Engagement_Estimation-_Assessing_the_Impact_of_Model_Reliability_on_Annotation_Accuracy.pdf
MindScratch: A Visual Programming Support Tool for Classroom Learning Based on Multimodal Generative AI,data collection; dataset; eda; screen recording; training data,chatgpt; diffusion model; gan; gat; gpt; gpt-3; gpt-3.5; gpt-4; language model; large language model; llm; ppo; stable diffusion; t5,canvas; cohere; github; processing; python; r; unity,Computational Thinking; Generative AI; Mind Mapping; Programming Support Tool,learners; participants; students; teachers,24,rna,cognitive load; eda; erp; imu,qualitative,3,0,2,1,0,0,2,,children,scratch being a prime example,structured courses and instruc,the applicability of these too,,True,False,False,False,False,True,True,0.931,,0.732,,0.716,,0.709,,0.545,,0.866,,0.907,,,True,True,True,True,False,False,True,0.828,True,0.769,True,0.843,True,0.761,True,0.87,True,0.763,True,0.837,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Yunnong Chen; Shuhong Xiao; Yaxuan Song; Zejian Li; Lingyun Sun; Liuqing Chen,"
 Programming has become an essential component of K-12 education and serves as a pathway for developing computational thinking skills. Given the complexity of programming and the advanced skills it requires, previous research has introduced user-friendly tools to support young learners. However, our interviews with six programming educators revealed that current tools often fail to reflect classroom learning objectives, offer flexible, high-quality guidance, and foster student creativity. This highlights the need for more adaptive and reflective tools. Therefore, we introduced MindScratch, a multimodal generative AI (GAI) powered visual programming support tool. MindScratch aims to balance structured classroom activities with free programming creation, supporting students in completing creative programming projects based on teacher-set learning objectives while also providing programming scaffolding. Our user study results indicate that, compared to the baseline, MindScratch more effectively helps students achieve highquality projects aligned with learning objectives. It also enhances students' computational thinking skills and creative thinking. Overall, we believe that GAI-driven educational tools like MindScratch offer students a focused and engaging learning experience. 
",167,10.1145/nnnnnnn.nnnnnnn,2024,,Computational Thinking; Generative AI; Mind Mapping; Programming Support Tool,elementary school; k-12; primary school,china,2024_-_MindScratch-_A_Visual_Programming_Support_Tool_for_Classroom_Learning_Based_on_Multimodal_Generative_AI.pdf
SensPS: Sensing Personal Space Comfortable Distance between Human-Human Using Multimodal Sensors,data collection; dataset; eda; electrodermal activity; eye movement; eye tracking; eye-tracking; gaze data; heart rate; physiological data; raw data; saccade; sensor data; skin conductance,decision tree; deep learning; deep learning model; gat; mobilenet; neural net; neural network; ppo; random forest; support vector machine; svm; transformer; transformer model; vgg16,processing; r,multimodal sensors; personal space; eye-tracking; wristband sensor; machine learning; deep learning,participants; students,,,accelerometer; cognitive load; eda; electrodermal activity; erp; eye movement; fixation; galvanic skin response; heart rate; imu; movement tracking; physiological data; ppg; saccade; sensor data; skin conductance; skin temperature,quantitative,3,1,0,0,1,1,0,,users,adaptive,,as a confederate approached or,,True,True,False,False,False,True,True,0.931,,0.765,,0.714,,0.711,,0.561,,0.882,,0.918,,,False,False,True,True,False,False,False,0.837,True,0.784,True,0.861,True,0.786,True,0.872,True,0.797,True,0.841,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Ko Watanabe; Nico Förster; Shoya Ishimaru,"
 Personal space, also known as peripersonal space, is crucial in human social interaction, influencing comfort, communication, and social stress. Estimating and respecting personal space is essential for enhancing human-computer interaction (HCI) and smart environments. Personal space preferences vary due to individual traits, cultural background, and contextual factors. Advanced multimodal sensing technologies, including eye-tracking and wristband sensors, offer opportunities to develop adaptive systems that dynamically adjust to user comfort levels. Integrating physiological and behavioral data enables a deeper understanding of spatial interactions. This study aims to develop a sensorbased model to estimate comfortable personal space and identify key features influencing spatial preferences. Here we show that multimodal sensors, particularly eye-tracking and physiological wristband data, can effectively predict personal space preferences, with eye-tracking data playing a more significant role. Our experimental study involving controlled human interactions demonstrates, that the Transformer model achieves the highest predictive accuracy (F1 score: 0.87) for estimating personal space. Eye-tracking features, such as gaze point and pupil diameter, emerge as the most significant predictors, while physiological signals from wristband sensors contribute marginally. These findings highlight the potential for AI-driven personalization of social space in adaptive environments. Our results suggest that multimodal sensing can be leveraged to develop intelligent systems that optimize spatial arrangements in workplaces, educational institutions, and public settings. Future work should explore larger datasets, real-world applications, and additional physiological markers to enhance model robustness. 
",228,10.1145/3290605.3300451,2025,,multimodal sensors; personal space; eye-tracking; wristband sensor; machine learning; deep learning,graduate; graduate students; undergrad; undergraduate; university,albania; azerbaijan; brazil; china; germany; india; iran; mali; russia; turkey,2025_SensPS-_Sensing_Personal_Space_Comfortable_Distance_between_Human-Human_Using_Multimodal_Sensors.pdf
Looking Beyond the Hype: Understanding the Effects of AI on Learning,dataset; eda; training data,chatgpt; deep learning; gan; gat; gpt; gpt-4; language model; large language model; llm; neural net; neural network; ppo; transformer; transformers,cohere; grammarly; orange; processing; r; unity,Artificial intelligence; Educational technology; Learning; Effectiveness; Evidence-based design,learners; students; teachers,,rna,eda; erp; imu,qualitative,4,1,3,0,0,1,1,,students,research backgrounds in ai in,ai can be divided into technol,task performance during the su,,True,True,False,False,False,True,True,0.926,,0.776,,0.724,,0.707,,0.573,,0.864,,0.908,,,True,True,False,True,False,False,True,0.839,True,0.809,True,0.862,True,0.782,True,0.862,True,0.803,True,0.863,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Elisabeth Bauer; Samuel Greiff; Arthur C Graesser; Katharina Scheiter; Michael Sailer,"
 Artificial intelligence (AI) holds significant potential for enhancing student learning. This reflection critically examines the promises and limitations of AI for cognitive learning processes and outcomes, drawing on empirical evidence and theoretical insights from research on AI-enhanced education and digital learning technologies. We critically discuss current publication trends in research on AI-enhanced learning and rather than assuming inherent benefits, we emphasize the role of instructional implementation and the need for systematic investigations that build on insights from existing research on the role of technology in instructional effectiveness. Building on this foundation, we introduce the ISAR model, which differentiates four types of AI effects on learning compared to learning conditions without AI, namely inversion, substitution, augmentation, and redefinition. Specifically, AI can substitute existing instructional approaches while maintaining equivalent instructional functionality, augment instruction by providing additional cognitive learning support, or redefine tasks to foster deep learning processes. However, the implementation of AI must avoid potential inversion effects, such as over-reliance leading to reduced cognitive engagement. Additionally, successful AI integration depends on moderating factors, including students' AI literacy and educators' technological and pedagogical skills. Our discussion underscores the need for a systematic and evidence-based approach to AI in education, advocating for rigorous research and informed adoption to maximize its potential while mitigating possible risks. 
",211,10.1007/s10648-025-10020-8,2025,,Artificial intelligence; Educational technology; Learning; Effectiveness; Evidence-based design,higher education; inclusive education; k-12,,2025_-_Looking_Beyond_the_Hype-_Understanding_the_Effects_of_AI_on_Learning.pdf
"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",eda; test data,chatgpt; claude; deep learning; gan; gat; gemini; gpt; gpt-3; gpt-3.5; gpt-4; language model; large language model; llm; ppo; transformer; transformer model,aws; excel; github; numbers; python; r; slack; unity; zoom,generative AI; GenAI; large language models; artificial intelligence; pedagogical practices; teaching computing; computing education,learners; participants; respondents; students; teachers,399,mutation; rna,eda; erp; imu,qualitative,3,1,1,2,1,0,3,,teachers,integrating genai into their c,before,each paper according to its pr,,True,False,False,False,False,True,True,0.928,,0.732,,0.708,,0.703,,0.544,,0.86,,0.898,,,True,False,True,True,False,True,False,0.83,True,0.769,True,0.839,True,0.744,False,0.858,True,0.759,True,0.866,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,James Prather; Juho Leinonen; Natalie Kiesler; Jamie Gorson Benario; Sam Lau; Stephen Macneil; Narges Norouzi; Simone Opel; Vee Pettit; Leo Porter; Brent N Reeves; Jaromir Savelka; David H Smith; Sven Strickroth; Daniel Zingaro,"
 Generative AI (GenAI) is advancing rapidly, and the literature in computing education is expanding almost as quickly. Initial responses to GenAI tools were mixed between panic and utopian optimism. Many were fast to point out the opportunities and challenges of GenAI. Researchers reported that these new tools are capable of solving most introductory programming tasks and are causing disruptions throughout the curriculum. These tools can write and explain code, enhance error messages, create resources for instructors, and even provide feedback and help for students like a traditional teaching assistant. In 2024, new research started to emerge on the effects of GenAI usage in the computing classroom. These new data involve the use of GenAI to support classroom instruction at scale and to teach students how to code with GenAI. In support of the former, a new class of tools is emerging that can provide personalized feedback to students on their programming assignments or teach both programming and prompting skills at the same time. With the literature expanding so rapidly, this report * Co-leader 
",173,10.1145/XXXXXXX,2024,,generative AI; GenAI; large language models; artificial intelligence; pedagogical practices; teaching computing; computing education,bachelor's degree; college; graduate; graduate students; higher education; k-12; undergrad; undergraduate; university,australia; canada; finland; france; germany; iceland; ireland; italy; netherlands; new zealand; poland; spain; sweden; switzerland; uk; united kingdom; united states,"2025_-_Beyond_the_Hype-_A_Comprehensive_Review_of_Current_Trends_in_Generative_AI_Research,_Teaching_Practices,_and_Tools.pdf"
Concentration Estimation in Online Video Lecture Using Multimodal Sensors,data collection; gaze data; heart rate; heart rate variability; sensor data; test data; training data,decision tree; ppo; random forest; svm,openface; processing; r,Wearable sensor; multimodal sensing; concentration detection; online learning; machine learning,participants; students,31,,accelerometer; emotional state; gyroscope; heart rate; heart rate variability; imu; sensor data; wearable sensor,quantitative,3,0,0,0,0,0,0,,students,jins meme glasses to measure c,onsite learning,at,,True,False,False,False,False,True,True,0.934,,0.746,,0.713,,0.709,,0.553,,0.883,,0.92,,,False,False,True,True,False,False,False,0.836,True,0.772,True,0.859,True,0.764,True,0.878,True,0.778,True,0.849,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Noriyuki Tanaka; Ko Watanabe; Shoya Ishimaru; Andreas Dengel; Shingo Ata; Manato Fujimoto,"
 Online lecture is one of the technology-wise challenges in the education field. It provides the advantage of encouraging anyone to join from worldwide. However, understanding students' concentration in remote is one of the difficulties. In this paper, we evaluate multimodal sensors for estimating students' concentration levels during online video lectures. We collect multimodal sensor data such as accelerometers, gyroscopes, heart rates, facial orientations, and eye gazes. We conducted experiments with 13 university students in Japan. The results of our study, with an average accuracy rate of 74.4% for user-dependent cross-validation and 66.3% for user-independent cross-validation, have significant implications for understanding and improving student engagement in online learning environments. Most interestingly, we found that facial orientations are significant for user-dependent and eye gazes for user-independent classification. 
 CCS CONCEPTS • Human-centered computing → Ubiquitous and mobile computing; • Applied computing → E-learning; Distance learning; • Hardware → Sensor applications and deployments. 
",149,10.1145/3675094.3677587,,,Wearable sensor; multimodal sensing; concentration detection; online learning; machine learning,university,japan,2024_-_Concentration_estimation_in_online_video_lecture_using_multimodal_sensors.pdf
Pedagogical incorporation of artificial intelligence in K-12 science education: A decadal bibliometric mapping and systematic literature review (2013-2023),dataset; eda; eeg; interaction logs,chatgpt; claude; deep learning; gan; gat; gpt; gru; neural net; neural network; ppo,processing; r,Artificial intelligence; K-12 science education; Systematic review; Bibliometric mapping; Pedagogical strategies,learners; participants; students; subjects; teachers,12,rna,eda; eeg; erp; imu,qualitative,3,0,1,0,0,1,4,,students,interactive simulations and vi,providing a comprehensive over,for eligibility,,True,True,False,False,False,True,True,0.914,,0.795,,0.714,,0.715,,0.605,,0.878,,0.914,,,True,False,True,True,False,False,False,0.837,True,0.793,True,0.868,True,0.773,True,0.869,True,0.795,True,0.844,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,K Kavitha; V P Joshith,"
 Artificial intelligence (AI) technologies continue to revolutionize various sectors, including their incorporation into education, particularly in K-12 science education, which has become evidently significant. This paper presents a bibliometric analysis and systematic review that examines the incorporation of AI technologies in K-12 science education. A total of 20 studies, comprising journal articles and conference proceedings published between 2013 and 2023 and sourced from the Scopus database, were analyzed to identify leading journals, influential papers, and authors, and county-wise contributions. The study reveals that AI technologies, including robotics, chatbots, machine learning, automated scoring -feedback, and neural networks, have demonstrably enhanced learning outcomes, increased student engagement, and facilitated personalized education in science classrooms. Further, the review identifies diverse methodological approaches and pedagogical strategies, including hands-on learning, blended learning models, inquiry-based methods, and feedback-based learning, as practical means of incorporating AI within science classrooms. Moreover, the key findings emphasized the importance of professional development, infrastructure investment, and ethical guidelines to support equitable implementation of AI in science education. This study also advocates future research investigating long-term impacts, ethical considerations, and qualitative insights to fully understand AI's potential in enhancing K-12 science education. 
",189,10.33902/JPR.202429218,2024,,Artificial intelligence; K-12 science education; Systematic review; Bibliometric mapping; Pedagogical strategies,elementary school; grade 7; high school; junior high school; k-12; middle school; online learning; primary school; secondary education; secondary school,australia; china; turkey; uk; united states,2024_-_Pedagogical_incorporation_of_artificial_intelligence_in_K-12_science_education-_A_decadal_bibliometric_mapping_and_systematic_literature_review_(2013-2023)_.pdf
Multimodality of AI for Education: Towards Artificial General Intelligence,benchmark dataset; data collection; data sample; dataset; eda; facial expression; multimodal dataset; training data,autoencoder; bert; chatgpt; cnn; convolutional neural network; deep learning; denoising autoencoder; diffusion model; gan; gat; gemini; generative adversarial network; gpt; gpt-2; gpt-3; gpt-3.5; gpt-4; instructgpt; language model; large language model; llama; llama-2; llm; lstm; neural net; neural network; ppo; random forest; recurrent neural network; reinforcement learning; resnet; rnn; stable diffusion; support vector machine; transformer; transformers; vae; variational autoencoder,aws; cohere; excel; processing; r; unity,Artificial General Intelligence (AGI); Machine Learning; ChatGPT; GPT-4V; Gemini; Multimodality; Education,learners; students; subjects; teachers,1,genome; rna,brain signal; cognitive load; eda; emotional state; erp; imu,qualitative,3,2,2,1,0,0,0,,learners,an exposition of the multimoda,singlemedia learning,by it,,True,True,False,False,False,True,True,0.932,,0.759,,0.715,,0.712,,0.561,,0.868,,0.909,,,False,True,False,False,False,True,True,0.84,True,0.788,True,0.858,True,0.781,True,0.87,True,0.784,True,0.853,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Gyeong-Geon Lee; Lehong Shi; Ehsan Latif; Yizhu Gao; Arne Bewersdorff; Matthew Nyaaba; Shuchen Guo; Zihao Wu; Zhengliang Liu; Hui Wang; Gengchen Mai; Tiaming Liu; Xiaoming Zhai,"
 This paper presents a comprehensive examination of how multimodal artificial intelligence (AI) approaches are paving the way towards the realization of Artificial General Intelligence (AGI) in educational contexts. It scrutinizes the evolution and integration of AI in educational systems, emphasizing the crucial role of multimodality, which encompasses auditory, visual, kinesthetic, and linguistic modes of learning. This research delves deeply into the key facets of AGI, including cognitive frameworks, advanced knowledge representation, adaptive learning mechanisms, strategic planning, sophisticated language processing, and the integration of diverse multimodal data sources. It critically assesses AGI's transformative potential in reshaping educational paradigms, focusing on enhancing teaching and learning effectiveness, filling gaps in existing methodologies, and addressing ethical considerations and responsible usage of AGI in educational 
",120,10.1109/ICCV.2015.287,2023,,Artificial General Intelligence (AGI); Machine Learning; ChatGPT; GPT-4V; Gemini; Multimodality; Education,college; graduate; higher education; k-12; undergrad; undergraduate; university,georgia; mali,2023_-_Multimodality_of_AI_for_Education-_Towards_Artificial_General_Intelligence.pdf
Img2Vocab: Explore Words Tied to Your Life With LLMs and Social Media Images,data collection; eda; eye-tracking; training data,chatgpt; cnn; gat; gemini; gpt; gpt-3; gpt-4; language model; large language model; llama; llm; machine learning model; ml model; ppo; rnn; transformer,firebase; numbers; openai api; processing; python; r,,learners; participants; students; teachers,23,rna,eda; erp; imu,qualitative,2,0,1,0,0,0,2,,learners,prior experience,context and,our first-of-its-kind system d,,True,False,False,False,False,True,True,0.932,,0.73,,0.719,,0.701,,0.545,,0.866,,0.902,,,False,False,False,False,False,False,False,0.837,True,0.774,True,0.842,True,0.764,True,0.867,True,0.761,True,0.863,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Kanta Yamaoka; K O Watanabe; Koic Kise; Andreas Dengel,"
 Psychological studies highlight the importance of combining new knowledge with one's prior experience. Hence personalization for a learner plays a key role for vocabulary acquisition. However, this faces two challenges: probing a learner's experiences in their lives and crafting tailored material for every different individual. With the prevalence of visual social media, such as Instagram, people share their photos from favorite moments, providing rich contexts, and emerging generative AI would create learning material in an effortless fashion. We prototyped an online vocabulary exploration system, which displays a learner's selected photos from their Instagram along with a generated sentence using image recognition and a language model, GPT-3. The system lets a learner find new words that are strongly tied to their daily life with the approximated context. We carried out our within-subject design evaluation of the system with 23 participants with three conditions: contexts grounded with learner's Instagram photos, contexts grounded from general images, and text-only modality. From learners' recall task accuracy, we found that having a context grounded with a learner's social image allowed them to find difficult words to quickly learn than having context generated by someone's image, or text only modality-although this finding is statistically insignificant. The Zipf frequency comparisons revealed that generally having image-based context allowed learners to extract difficult vocabulary than having text-only context. We also discuss quantitative and qualitative results regarding participants' acceptance of the personalization system using their personal photos from social media. Generally, they reported positive impressions for our system such as high engagement. While our system prioritizes user privacy with opt-in data control and secure design, we explore additional ethical considerations. This paves the way for a future where personalized language learning, grounded in real-world experiences and generative AI, benefits learners. INDEX TERMS Context-aware language learning, HCI, large language models, generative AI. 
",300,10.1109/ACCESS.2025.3533076,,,,university,japan; mali,2025_Img2Vocab-_Explore_Words_Tied_to_Your_Life_with_LLMs_and_Social_Media_Images.pdf
Visual Learning: The Power of Visual Aids and Multimedia,,gan; gat; ppo,aws; blackboard; canvas; excel; google classroom; processing; r; unity,visual learning; visual aids; multimedia; learning styles; educational strategies; mind mapping; cognitive processing; visual engagement; personalized learning; interactive learning tools; spatial reasoning. I. Introduction,learners; students; subjects,,rna,cognitive load; erp; imu,quantitative,1,0,0,0,0,1,2,,learners,a predominant visual learning,other learning styles while vi,comprehension,,True,True,False,False,False,True,True,0.934,,0.769,,0.727,,0.712,,0.572,,0.86,,0.911,,,False,False,False,True,False,False,False,0.852,True,0.824,True,0.865,True,0.811,True,0.879,True,0.825,True,0.817,True,,0.7,True,True,False,True,True,True,True,False,False,True,analytic,Moses Alabi,"
 Visual learning is a learning style that emphasizes the use of images, diagrams, charts, and other visual aids to enhance comprehension and retention. Visual learners thrive when information is presented through visually engaging materials, which helps them organize and process complex information more effectively. This learning style is particularly beneficial in subjects that involve spatial reasoning, conceptual relationships, and pattern recognition, as it enables learners to see connections and structures that might be less apparent in text-based or auditory formats. This paper explores the cognitive processes underlying visual learning and the advantages of using visual aids to facilitate knowledge acquisition. Techniques such as mind mapping, infographics, flowcharts, and videos are examined as tools that support memory retention and deepen understanding. The study also considers the role of multimedia in visual learning, analyzing how animations, interactive graphics, and virtual reality applications can enrich the learning experience by making abstract concepts more concrete and engaging. Additionally, this paper discusses the implementation of visual learning strategies in various educational contexts, including science, mathematics, and history, where complex data and processes can be better understood with visual supports. Challenges associated with this learning style, such as limited effectiveness in purely text-based environments, are addressed, along with recommendations for creating inclusive learning environments that integrate visual aids with other learning modalities. By emphasizing the importance of visual aids and multimedia, this research highlights how visual learning can be leveraged to improve educational outcomes and cater to diverse learning preferences. 
",244,10.1080/08923640902854405,2024,,visual learning; visual aids; multimedia; learning styles; educational strategies; mind mapping; cognitive processing; visual engagement; personalized learning; interactive learning tools; spatial reasoning. I. Introduction,high school; middle school,united states,2024_-_Visual_Learning-_The_Power_of_Visual_Aids_and_Multimedia.pdf
AI-Driven Cognitive Modeling: Integrating Eye Tracking and Machine Learning for Personalized User Insights,dataset; eye movement; eye tracking; gaze data; physiological data; pupil dilation; saccade,gat; machine learning model; neural net; neural network; ppo; support vector machine,notion; processing; r; unity,Eye tracking; machine learning; cognitive modeling; personalized insights; user experience; behavioral analytics; adaptive systems,students,,rna,cognitive load; emotional state; erp; eye movement; fixation; physiological data; pupil dilation; saccade,qualitative,1,0,0,1,0,0,0,,users,computational means,compromising trust or security,user engagement and reduced ti,,True,True,False,False,False,True,True,0.923,,0.779,,0.734,,0.725,,0.568,,0.856,,0.903,,,False,False,True,False,False,False,False,0.846,True,0.819,True,0.86,True,0.81,True,0.863,True,0.816,True,0.842,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,,"
 This study explores the integration of eye tracking and machine learning to advance AI-driven cognitive modeling, enabling the development of personalized user insights. By capturing gaze patterns and applying predictive analytics, the research aims to understand user attention, decisionmaking processes, and cognitive load in real time. Machine learning algorithms analyze vast datasets from eye movements to identify unique behavioral patterns, enhancing user profiling and adaptive interface design. This approach fosters more intuitive human-computer interaction, optimizing user experience in sectors such as education, healthcare, and e-commerce. The findings underscore the potential of combining physiological data with AI to drive innovative applications in cognitive science and technology. 
",105,10.13140/RG.2.2.29692.04482,2024,,Eye tracking; machine learning; cognitive modeling; personalized insights; user experience; behavioral analytics; adaptive systems,online learning,mali,2024_-_AI-Driven_Cognitive_Modeling-_Integrating_Eye_Tracking_and_Machine_Learning_for_Personalized_User_Insights.pdf
Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling,data collection; dataset; eda,bert; chatgpt; claude; deep learning; gan; gat; gemini; gpt; language model; large language model; llm; ppo; transformer; transformers,anthropic; cohere; github; huggingface; r,artificial intelligence; education; topic modeling; large language models; multimodal,students; teachers,5000,,eda; erp; imu,qualitative,1,0,1,0,0,0,1,,students,regulatory efforts trying to a,exhaustively testing every com,as follows,,True,True,False,False,False,True,True,0.92,,0.762,,0.701,,0.713,,0.586,,0.876,,0.909,,,True,False,False,False,False,False,False,0.834,True,0.766,True,0.848,True,0.769,True,0.865,True,0.778,True,0.85,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Ville Heilala; Roberto Araya; Raija Hämäläinen,"
 Generative artificial intelligence (GenAI) can reshape education and learning. While large language models (LLMs) like ChatGPT dominate current educational research, multimodal capabilities-such as text-to-speech and text-to-image-are less explored. This study uses topic modeling to map the research landscape of multimodal and generative AI in education. An extensive literature search yielded 4175 articles. Employing a topic modeling approach, latent topics were extracted, resulting in 38 interpretable topics organized into 14 thematic areas. Findings indicate a predominant focus on text-to-text models in educational contexts, with other modalities underexplored, overlooking the broader potential of multimodal approaches. The results suggest a research gap, stressing the importance of more balanced attention across different AI modalities and educational levels. In summary, this research provides an overview of current trends in generative AI for education, underlining opportunities for future exploration of multimodal technologies to fully realize the transformative potential of artificial intelligence in education. 
 CCS Concepts • Applied computing → Education; • Computing methodologies → Artificial intelligence; Information extraction; • General and reference → Surveys and overviews. 
",170,10.1145/3672608.3707764,2025,,artificial intelligence; education; topic modeling; large language models; multimodal,higher education; k-12,,2024_-_Beyond_Text-to-Text-_An_Overview_of_Multimodal_and_Generative_Artificial_Intelligence_for_Education_Using_Topic_Modeling.pdf
